last_tag_seen	tag_visible	tag_x_coord	tag_distance	bumping	drive_command
d	d	c	c	d	d
0	t	156	1318	f	f
0	t	156	1198	f	f
0	t	155	1197	f	f
0	t	155	1195	f	f
0	t	156	1197	f	f
0	t	155	1196	f	f
0	t	156	1198	f	f
0	t	156	1197	f	f
0	t	155	1197	f	f
0	t	156	1197	f	f
0	t	155	1197	f	f
0	t	155	1196	f	f
0	t	155	1196	f	f
0	t	156	1198	f	f
0	t	156	1317	f	f
0	t	156	1198	f	f
0	t	155	1197	f	f
0	t	156	1197	f	f
0	t	155	1195	f	f
0	t	156	1194	f	f
0	t	156	1192	f	f
0	t	156	1193	f	f
0	t	155	1195	f	f
0	t	156	1197	f	f
0	t	156	1198	f	f
0	t	156	1197	f	f
0	t	156	1197	f	f
0	t	156	1318	f	f
0	t	155	1196	f	f
0	t	155	1195	f	f
0	t	155	1195	f	f
0	t	155	1195	f	f
0	t	155	1196	f	f
0	t	156	1198	f	f
0	t	155	1195	f	f
0	t	155	1195	f	f
0	t	155	1196	f	f
0	t	155	1196	f	f
0	t	155	1206	f	f
0	t	154	1220	f	f
0	t	151	1166	f	f
0	t	149	1134	f	f
0	t	148	1078	f	f
0	t	146	984	f	f
0	t	145	975	f	f
0	t	143	962	f	f
0	t	142	891	f	f
0	t	142	826	f	f
0	t	141	767	f	f
0	t	140	698	f	f
0	t	139	664	f	f
0	t	137	592	f	f
0	t	134	526	f	f
0	t	134	520	f	f
0	t	133	525	f	f
0	t	129	429	f	r
0	t	120	324	f	r
0	t	116	291	f	r
0	f	116	291	f	r
0	f	116	291	f	r
0	f	116	291	f	r
0	f	116	291	f	r
0	f	116	291	f	r
0	f	116	291	f	r
0	f	116	291	f	r
0	f	116	291	f	r
0	f	116	291	f	r
0	f	116	291	f	r
0	f	116	291	f	r
0	f	116	291	f	r
0	f	116	291	f	r
0	f	116	291	f	r
0	f	116	291	f	r
0	f	116	291	f	r
0	f	116	291	f	r
0	f	116	291	f	r
0	f	116	291	f	r
0	f	116	291	f	r
0	f	116	291	f	r
0	f	116	291	f	r
0	f	116	291	f	r
0	f	116	291	f	r
0	f	116	291	f	r
0	f	116	291	f	r
0	f	116	291	f	r
0	f	116	291	f	r
0	f	116	291	f	r
0	f	116	291	f	r
0	f	116	291	f	r
0	f	116	291	f	r
0	f	116	291	f	r
0	f	116	291	f	r
0	f	116	291	f	r
0	f	116	291	f	r
0	f	116	291	f	r
0	f	116	291	f	r
0	f	116	291	f	r
0	f	116	291	f	r
0	f	116	291	f	r
0	f	116	291	f	r
0	f	116	291	f	r
0	f	116	291	f	r
0	f	116	291	f	r
0	f	116	291	f	r
0	f	116	291	f	r
0	f	116	291	f	r
0	f	116	291	f	r
0	f	116	291	f	r
0	f	116	291	f	r
0	f	116	291	f	r
0	f	116	291	f	r
0	f	116	291	f	r
0	f	116	291	f	r
0	f	116	291	f	r
0	f	116	291	f	r
0	f	116	291	f	r
0	f	116	291	f	r
0	f	116	291	f	r
1	t	278	1075	f	r
1	t	264	1136	f	r
1	t	243	1174	f	r
1	t	221	1239	f	f
1	t	222	1250	f	f
1	t	199	1269	f	f
1	t	171	1309	f	f
1	t	174	1308	f	f
1	t	174	1307	f	f
1	t	174	1309	f	f
1	t	174	1309	f	f
1	t	174	1309	f	f
1	t	174	1308	f	f
1	t	174	1312	f	f
1	t	174	1289	f	f
1	t	174	1278	f	f
1	t	177	1201	f	f
1	t	177	1181	f	f
1	t	177	1170	f	f
1	t	178	1105	f	f
1	t	179	1021	f	f
1	t	179	1003	f	f
1	t	181	850	f	f
1	t	182	828	f	f
1	t	185	711	f	f
1	t	188	639	f	f
1	t	189	609	f	f
1	t	192	521	f	f
1	t	190	552	f	f
1	t	190	550	f	f
1	t	190	523	f	f
1	t	190	549	f	f
1	t	190	549	f	f
1	t	190	550	f	f
1	t	190	549	f	f
1	t	192	470	f	f
1	t	196	448	f	f
1	t	195	430	f	f
1	t	195	430	f	f
1	t	196	450	f	f
1	t	195	448	f	f
1	t	198	378	f	f
1	t	202	336	f	f
1	t	205	326	f	f
1	t	206	326	f	f
1	t	206	325	f	f
1	t	206	325	f	l
1	t	206	325	f	l
1	t	206	318	f	l
1	f	206	318	f	l
1	f	206	318	f	l
1	f	206	318	f	l
1	f	206	318	f	l
1	f	206	318	f	l
1	f	206	318	f	l
1	f	206	318	f	l
1	f	206	318	f	l
1	f	206	318	f	l
1	f	206	318	f	l
1	f	206	318	f	l
1	f	206	318	f	l
1	f	206	318	f	l
1	f	206	318	f	l
1	f	206	318	f	l
1	f	206	318	f	l
1	f	206	318	f	l
1	f	206	318	f	l
1	f	206	318	f	l
1	f	206	318	f	l
1	f	206	318	f	l
1	f	206	318	f	l
1	f	206	318	f	l
1	f	206	318	f	l
1	f	206	318	f	l
1	f	206	318	f	l
1	f	206	318	f	l
1	f	206	318	f	l
2	t	37	742	f	l
2	t	44	751	f	l
2	t	48	760	f	l
2	t	70	821	f	f
2	t	96	777	f	f
2	t	96	795	f	f
2	t	97	787	f	f
2	t	97	787	f	f
2	t	97	853	f	f
2	t	97	786	f	f
2	t	97	787	f	f
2	t	97	854	f	f
2	t	97	853	f	f
2	t	91	765	f	f
2	t	86	766	f	f
2	t	83	723	f	f
2	t	78	620	f	f
2	t	70	561	f	f
2	t	67	539	f	f
2	t	56	490	f	l
2	t	47	435	f	l
2	t	47	426	f	l
2	t	47	426	f	l
2	t	47	425	f	l
2	t	65	420	f	f
2	t	86	446	f	f
2	t	81	439	f	f
2	t	81	436	f	f
2	t	81	439	f	f
2	t	81	439	f	f
2	t	81	439	f	f
2	t	78	456	f	f
2	t	65	375	f	f
2	f	65	375	f	f
2	f	65	375	f	l
2	f	65	375	f	l
2	f	65	375	f	l
2	f	65	375	f	l
2	f	65	375	f	l
2	f	65	375	f	l
2	f	65	375	f	l
2	f	65	375	f	l
2	t	88	253	f	l
2	t	127	266	f	l
2	t	161	260	f	l
2	t	193	254	f	l
2	t	237	244	f	l
2	f	237	244	f	l
2	f	237	244	f	l
2	f	237	244	f	l
2	f	237	244	f	l
2	f	237	244	f	l
2	f	237	244	f	l
2	f	237	244	f	l
2	f	237	244	f	l
2	f	237	244	f	l
2	f	237	244	f	l
2	f	237	244	f	l
2	f	237	244	f	l
2	f	237	244	f	l
